Titulo,Check,IMDBid,Nota,Votos,Elenco,Gênero,Duração,Reviews,Ano,Data de estréia,Roteiristas,Censura,País,Idiomas,Episodios
The Chosen One,tv series,9048368,5.8,636.0,"Renan Tenca, Paloma Bernardi, Gutto Szuster, Pedro Caetano, Mariano Mattos Martins, Alli Willow, Tuna Dwek, Kiko Vianello, Lourinelson Vladmir, Aury Porto, Ricardo Félix Rojas, Eddie Garvar, Francisco Gaspar, Glauber Amaral, Astrea Lucena, Adriano Paixão, Jill Galbraith, Jeremy S. Walker, Bernardo Matos, Mariana Amâncio, Giselle Itié, Tonantzin Carmelo, Leonardo Ventura, Alessia Krisanovski, José Augusto Queiroz, Ayana Duailibe, João Carlos Andreazza, Ana Nero, Brian Castro, Maria Do Carmo Soares, Iva Oliveira, Pedro Augusto, Cesar Pezzuoli, Eduarda Zampoli, Laerte Késsimos, Paulo Azevedo, Tsupto Xavante, Tião D'Ávila, Fernando Teixeira, Paulo Marcello, Bruna Anauate, Fafá Rennó, Cleudeni Milhomem, Venecy Santos, Thalys Judson, Gustavo Corasini, Lino Camilo, Viviane Esteves, João Vilela, Allan Henrique","Mystery, Thriller",40,25.0,2019.0,2019-06-28,"Pablo Cruz, Raphael Draccon, Raphael Draccon","Argentina:16, Brazil:16, Germany:16::(self-applied), India:18::(self-applied), Italy:VM14, Mexico:TV-MA::(self-applied), Netherlands:16, Philippines:18+::(self-applied), Singapore:M18, South Korea:18, United Kingdom:15",Brazil,Portuguese,6.0
Osmosis,tv series,7043380,5.8,2851.0,"Agathe Bonitzer, Hugo Becker, Gaël Kamilindi, Manoel Dupont, Stéphane Pitti, Luana Silva, Yuming Hey, Philypa Phoenix, Fabien Ducommun, Lena Lapres, Jeremy Lewin, Jimmy Labeeu, Vincent Renaudet, Lionel Lingelser, Waly Dia, Suzanne Rault-Balet, Aurélia Petit, Laure-Lucile Simon, Dimitri Storoge, Pierre Hancisse, Sarah-Jane Sauvegrain, Camille-François Nicol, Emilie Roumy, Arnaud Simon, Clémence Boisnard, Viktor Klépal, Christelle Cornil, Romane Rohmer, Sabrina Aliane, Aubin Risse, Guillaume Duhesme, Bob Martet, Brieuc Leguern, Didier Sauvegrain, Salomé Partouche, Chloé Renaud, Margot Marie Ménéguz, Diong-Kéba Tacu, Arthur Dupont, Vinciane Millereau, Erynn Meriaux, Thibaut Guillemaille, Loïc Riewer, Julien Buchy, Thomas Silberstein, Eddie Chignara, Victor Le Blond, Pierre Duprat, Mireille Perrier, Kevin Garnichat","Romance, Sci-Fi",55,24.0,2019.0,2019-03-29,"Gabriel Chiche, Louis Chiche, William Chiche","Brazil:16::(self-applied), France:13::(self-applied), Germany:12::(internet), India:18::(self-applied), Italy:VM14, Netherlands:12, Philippines:18+::(self-applied), Singapore:R21, South Korea:18, Spain:13, Turkey:18+::(self-applied), United Kingdom:15, United States:TV-MA::(self-applied)",France,French,8.0
Puerta 7,tv series,9170386,5.7,516.0,"Dolores Fonzi, Esteban Lamothe, Carlos Belloso, Juan Gil Navarro, Antonio Grimau, Daniel Aráoz, Ignacio Quesada, Daniel Valenzuela, Meli Giostra, Roque Favale, Alina Moine, Mónica Ayos","Crime, Drama, Thriller",45,14.0,2020.0,2020-02-21,"Patricio Vega, Martin Zimmerman, Martin Zimmerman","Argentina:18, Australia:M, Philippines:18+::(self-applied), Singapore:M18, South Korea:18, United Kingdom:15, United States:TV-MA",Argentina,Spanish,8.0
Holiday Secrets,tv mini series,11243536,6.5,1032.0,"Corinna Harfouch, Christiane Paul, Svenja Jung, Leonie Benesch, Hans-Uwe Bauer, Dennis Herrmann, Golo Euler, Barbara Nüsse, Lorna zu Solms, Anita Vulesica, Tilda Jenkins, Maik Solbach, Thilo Prothmann, Merlin Rose, Lisa Hagmeister, Eva Bay, Laura von Beloseroff, Emilie Neumeister, Matti Schmidt-Schaller, Ludwig Senger, Lucas Lentes, Esther Esche, Csilla Bakonyi, Josefine Voss",Drama,NA,7.0,2019.0,2019-11-20,Katharina Eyssen,"Argentina:13, Singapore:PG13",Germany,German,3.0
Mindhunter,tv series,5290382,8.6,246759.0,"Jonathan Groff, Holt McCallany, Anna Torv, Sonny Valicenti, Stacey Roca, Hannah Gross, Joe Tuttle, Zachary Scott Ross, Cotter Smith, Albert Jones, Lauren Glazier, Michael Cerveris, Dohn Norwood, Gareth Williams, June Carryl, Cameron Britton, Nate Corddry, Sierra Aylina McClain, Siovhan Christensen, Katherine Banks, Alex Morf, Erik Jensen, Christopher Grove, Regi Davis, Christopher Livingston, Blythe Howard, Darrin Giossi, Bryan McClure, Crystal Lee Brown, Patrick Jordan, Joseph Cross, Marc Kudisch, Happy Anderson, Duke Lafoon, Jesse C. Boyd, Trey Teufel, Peter Murnik, Don O. Knowlton, Michael Park, George R. Sheffey, Brent Sexton, Paul Carafotes, Drew Seltzer, Megan McQuillan, Bobby Liga, Lila Lazarus, Emily Bergl, Michelle Davidson, Ricardo Miguel Young, Tammy Felice","Crime, Drama, Thriller",60,25.0,2017.0,2017-10-13,"John Douglas, Mark Olshaker, Joe Penhall","Argentina:16, Australia:MA15+::(Netflix self-rating), Brazil:16, Canada:TV-MA::(self-applied), Chile:16+::(Netflix self-rating), France:16, Germany:16, India:16+::(self-applied), Indonesia:18+::(self-applied), Italy:VM14, Japan:R18+::(self-applied), Mexico:TV-MA, Mexico:TV-MA::(self-applied), Netherlands:12, Norway:16::(Netflix self-rating), Philippines:18+::(self-applied), Poland:12, Russia:18+, Singapore:M18::(season 1), Singapore:R21::(series level), South Korea:18, Spain:16, Sweden:16+, Turkey:16+::(self-applied), United Kingdom:18, United States:TV-MA, United Arab Emirates:16+::(self-applied)",United States,English,10.0
Samantha!,tv series,6626676,6.7,506.0,"Emanuelle Araújo, Douglas Silva, Sabrina Nonata, Cauã Gonçalves, Duda Gonçalves, Daniel Furlan, Ary França, Lorena Comparato, Enzo Oviedo, Sidney Alexandre, Gretchen, Rodrigo Pandolfo, Zezeh Barbosa, Fernanda Matias, Maurício Xavier, Alessandra Maestrini, Cris Nicolotti, Shani Atias, Cali DiCapo, Alice Braga, Curt Bonnem, Paulo Tiefenthaler, Rosaly Papadopol, Luciana Vendramini, Marlene Bregman, Marco Gonçalves, Renata Augusto, Carol Melgaço, Felipe Abib, Shirley Cruz, Lulu Pavarin, Taiguara Nazareth, Carlos Meceni, Giovanna Chaves, Felipe Montanari, Lavínia Panunzio, Jean Pierre Noher, Gilda Nomacce, Fernanda Viacava, Cláudia Missura, Erick Ryu, Fabio Marcoff, Rita Moraes, Amanda Lyra, Mariana Xavier, Marcelo Várzea, Mirella Façanha, Fernando Sampaio, Felipe Braga, Ivo Müller",Comedy,27,4.0,2018.0,2018-07-06,"Felipe Braga, Rafael Lessa, Rafael Lessa","Brazil:14, Netherlands:12, Norway:12::(Netflix self-rating), Philippines:16+::(self-applied), Singapore:M18, South Korea:18, Spain:13",Brazil,Portuguese,7.0
YG Future Strategy Office,tv mini series,8129694,6.9,199.0,"Kim Ga-eun, Amy Aleha, Seung-Hyun Lee, Kim Jinwoo, Se-Bin Son, Byungjae Yoo, Jai-jin Lee",Comedy,NA,7.0,2018.0,2018-10-05,Seok-min Kim,"Australia:M, Singapore:NC16, South Korea:15, United Kingdom:15, United States:TV-MA",South Korea,NA,8.0
Betaal,tv series,10651790,5.4,8632.0,"Vineet Kumar Singh, Aahana Kumra, Suchitra Pillai, Jatin Goswami, Siddharth Menon, Manjiri Pupala, Yashwant Wasnik, Savita Bajaj, Jitendra Joshi, Syna Anand, Meenal Kapoor, Ankur Vikal, Richard Dillane, Krishna Singh Bisht, Swapnil kiiran Kotriwar, Pawan Singh, Akhilesh Unnithan, Ratan Nag, Shrishti Fadtare, Tanay Khemani, Patrick Graham, Pankaj Upadhyay, Virendra Singh","Action, Horror, Thriller",46,25.0,2020.0,2020-05-24,"Adhir Bhat, Patrick Graham, Patrick Graham","Argentina:16, Australia:MA15+, Brazil:16::(self-applied), Canada:TV-MA::(self-applied), France:16::(self-applied), Germany:16::(self-applied), India:18::(self-applied), Italy:VM14::(self-applied), Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:16, Philippines:16+::(self-applied), Singapore:NC16, South Korea:18, Spain:16::(self-applied), Sweden:16+::(self-applied), Turkey:16+::(self-applied), United Kingdom:15::(self-applied), United States:TV-MA::(self-applied)",India,Hindi,4.0
Dolly Parton's Heartstrings,tv series,8509922,7.6,2028.0,"Dolly Parton, Sarah Shahi, Kathleen Turner, Julianne Hough, Colin O'Donoghue, Melissa Leo, Robert Taylor, Delta Burke, Patricia Wettig, Ginnifer Goodwin, Kimberly Williams-Paisley, Rochelle Aytes, Holly Taylor, Willa Fitzgerald, Timothy Busfield, Ben Lawson, Andy Mientus, Dallas Roberts, Tom Brittney, David Denman, Jessica Collins, Katie Stevens, Kyle Bornheimer, Shane Paul McGhie, Brooke Elliott, Virginia Gardner, Vanessa Rubio, Tammy Lynn Michaels, Michael J. Willett, Tyler Crumley, Michele Weaver, Mary Lane Haskell, Tim Reid, Camryn Manheim, Braxton Bjerken, Mac Davis, Aidan Langford, Mary Donnelly Haskell, Wynn Everett, Bellamy Young, Gerald McRaney, Ray McKinnon, Mark Ashworth, Ed Amatrudo, Sara Boustany, Scott Reeves, Adam Aalderks, Alex Van, Aria Brooks, Catherine Dyer","Comedy, Drama, Music, Musical",62,25.0,2019.0,2019-11-20,"Thomas Ian Griffith, Gary Grubbs, Mary Page Keller","Argentina:13, Brazil:12::(self-applied), France:13::(self-applied), Germany:12::(self-applied), Italy:T, Netherlands:12, Philippines:13+::(self-applied), Singapore:R21, South Korea:15, Sweden:13::(self-applied), United Kingdom:15, United States:TV-14",United States,English,8.0
Jessica Jones,tv series,2357547,7.9,201323.0,"Krysten Ritter, Rachael Taylor, Eka Darville, Carrie-Anne Moss, John Ventimiglia, David Tennant, Rebecca De Mornay, J.R. Ramirez, Janet McTeer, Wil Traval, Benjamin Walker, Jeremy Bobb, Tiffany Mack, Rachel McKeon, Mike Colter, Leah Gibson, Susie Abromeit, Aneesh Sheth, Erin Moriarty, Sarita Choudhury, Robin Weigert, Kevin Chacon, Nichole Yannetty, Terry Chen, Callum Keith Rennie, Hal Ozsan, Jessica Frances Dukes, Jamie Neumann, Michael Siberry, Maury Ginsberg, Lisa Tharps, Colby Minifie, Ryan Farrell, Paul Pryce, Kieran Mulcare, Eden Marryshow, Tina Chilip, Clarke Peters, Elizabeth Cappuccino, Chris McGinn, Danielle Ferland, Gillian Glasco, Lisa Emery, John Benjamin Hickey, Angel Desai, Joseph Ragno, Matt Weiss, Parisa Fitz-Henley, Tijuana Ricks, Anthoula Katsimatides","Action, Crime, Drama, Sci-Fi, Thriller",56,25.0,2015.0,2015-10-10,"Brian Michael Bendis, Michael Gaydos, Melissa Rosenberg","Argentina:16, Australia:MA15+, Brazil:16, Canada:13+::(Quebec), France:16, Germany:16::(self-applied), India:18::(self-applied), Indonesia:18+::(self-applied), Italy:VM14, Japan:R18+::(self-applied), Malaysia:18, Mexico:TV-MA::(self-applied), Netherlands:16, New Zealand:R16, Norway:16::(Netflix self-rating), Philippines:18+::(self-applied), Poland:16::(self-applied), Russia:18+, Singapore:M18, South Korea:18, Spain:16, Sweden:16+::(self-applied), Turkey:18+::(self-applied), United Kingdom:15, United States:TV-MA, United Arab Emirates:18+::(self-applied)",United States,English,13.0
Warrior Nun,tv series,9059350,6.9,26232.0,"Alba Baptista, Toya Turner, Kristina Tonteri-Young, Lorena Andrea, Tristán Ulloa, Thekla Reuten, Olivia Delcán, Joaquim de Almeida, Peter De Jersey, Sylvia De Fanti, Lope Haydn Evans, Emilio Sakraya, William Miller, Dimitri Abold, May Lifschitz, Charlotte Vega, Guiomar Alonso, Melina Matthews, Sinead MacInnes, Fred Pritchard, Isabella Tabares, Frances Tomelty, Nikol Kollars, Liam McMahon, Oscar Foronda, Vivi Lepori, Jota Castellano, Alberto Ruano, Sofia Brudke del Hoyo, Gonzalo Cunill, Silvia Quevedo, Jessica Seciliano, Jon Bermúdez, Victor Solé, Kay Headley, Mario Scattonloni, Kytková Tomsíková Miroslava, Scheherazade Braithwaite, Eddie Pezzopane, Pedro Rudolphi, Bruno Oro, Rava Chaves, Pedro Aijon, Eva de Noe, James Nield, Daniele Fileti, Roberto Bonacini, Berta García-Lacht, Anna Puig, Adrián de Cea","Action, Drama, Fantasy",NA,25.0,2020.0,2020-06-02,"Simon Barry, Simon Barry, David Hayter","Argentina:16, Australia:MA15+, Brazil:16::(self-applied), Canada:TV-MA::(self-applied), France:16::(self-applied), Germany:16::(internet), India:18::(self-applied), Italy:VM14::(self-applied), Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:16, Norway:16::(Netflix self-rating), Philippines:18+::(self-applied), Poland:16::(self-applied), Singapore:M18, South Korea:15::(self-applied), Spain:16, Sweden:16+::(self-applied), Turkey:18+::(self-applied), United Kingdom:15::(season 1), United States:TV-MA",United States,English,10.0
Abla Fahita: Drama Queen,tv series,11570224,6.5,411.0,"Caro, Abla Fahita, Nick Shakoour, Nadia Hamzeh, Bosy Shalaby, Mona Mamdouh, Rehab Hussain, Mena Adel, Zaina Mansour, Ahmed Saad Misho, Basem Samrah, Donia Maher, Osama Abdallah, Mostafa Elmorsy, Sahar Kamel","Comedy, Crime, Drama, Musical",25,12.0,2021.0,2021-03-15,"Abla Fahita, Abla Fahita, Donia Maher","Philippines:16+::(self-applied), Singapore:PG13, United States:TV-14",Egypt,"Arabic, Turkish, English",6.0
Vampires,tv series,11829316,5.7,1164.0,"Kate Moran, Mounir Amamra, Juliette Cardinski, Pierre Lottin, Dylan Robert, Oulaya Amamra, Suzanne Clément, Aliocha Schneider, Beatrice Ring, Bilel Chegrani, Antonia Buresi, Theo Hakola, Ayumi Roux, Jalal Altawil, Olivia Forest, Jonathan Genet, Marilú Marini, Maxim Anselin, Tania Gonzalez, Mahault Mollaret, Jade Phan-Gia","Drama, Fantasy, Horror",NA,25.0,2020.0,2020-03-20,"Benjamin Dupas, Benjamin Dupas, Isaure Pisani-Ferry","Argentina:16, Australia:MA15+, France:16::(self-applied), Germany:16, India:18::(self-applied), Italy:VM14::(self-applied), Netherlands:16, Singapore:M18, South Korea:18, Spain:16, United Kingdom:18, United States:TV-MA",France,French,6.0
Santa Clarita Diet,tv series,5580540,7.8,61840.0,"Drew Barrymore, Timothy Olyphant, Liv Hewson, Skyler Gisondo, Mary Elizabeth Ellis, Natalie Morales, Richard T. Jones, Jonathan Slavin, Ricardo Chavira, Nathan Fillion, Thomas Lennon, Joy Osmanski, Ethan Suplee, Ramona Young, Shalita Grant, Stephen Full, Dominic Burgess, Andy Richter, Alan Tudyk, Sydney Park, Linda Lavin, Joel McHale, Goran Visnjic, Maggie Lawson, Matt Shively, Zachary Knighton, Leo Howard, Kaylee Bryant, Jee Young Han, Laura Silverman, Brad Raider, Grace Zabriskie, Deobia Oparei, Portia de Rossi, Robert Baker, Shawn-Caulin Young, Adam Rose, Nia Renee Hill, Paul Ben-Victor, Scott Beehner, Terry Walters, Christina Ferraro, Arden Belle, David Theune, Thomas Crawford, Patton Oswalt, George Basil, Matt O'Leary, Derek Waters, Malcolm Barrett","Comedy, Horror",30,25.0,2017.0,2017-01-20,"Victor Fresco, Victor Fresco, Aaron Brownstein","Argentina:16, Australia:MA15+, Brazil:16, Canada:TV-MA::(self-applied), France:16, Germany:16::(Netflix self-rating), India:18::(self-applied), Italy:VM14, Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:16, Norway:16::(Netflix self-rating), Philippines:18+::(self-applied), Singapore:R21, South Korea:18, Spain:16, Sweden:16+::(self-applied), Turkey:18+::(self-applied), United Kingdom:15, United States:TV-MA::(TV rating)",United States,English,10.0
The Rain,tv series,6656238,6.3,33976.0,"Alba August, Lucas Lynggaard Tønnesen, Mikkel Boe Følsgaard, Lukas Løkken, Sonny Lindberg, Johannes Kuhnke, Jessica Dinnage, Natalie Madueño, Clara Rosager, Evin Ahmad, Angela Bundalovic, Rasmus Hammerich, Rex Leonard, Cecilia Loffredo, Bertil De Lorenzi, Lars Simonsen, Annemette Andersen, Henrik Birch, Rebekka Trier Kær, Vera Mi Fernandez Bachmann, Viktor Melnikov, Rashid Aitouganov, Magdalena Eshaya, Bogdan Gorgos, Joos Rohrberg Sanden Støvelbæk, Jacob Lohmann, Iben Hjejle, Ramadan Huseini, Ardalan Esmaili, Anders Heinrichsen, Rumle Kærså, Stine Prætorius, Jack Pedersen, Thomas Bang, Anders Juul, Josephine Park, Nicklas Søderberg Lundstrøm, Lars Torpp Thomsen, Dan Zahle, Ellaha Lack, Sandra Guldberg Kampp, Kristian Fjord, Kaya Toft Loholt, Anders Mossling, Bertil Smith, Sebastian Aagaard-Williams, Anne Gry Henningsen, Nicolai Dahl Hamilton, Anna Bjelkerud, Kasper Løfvall Stensbirk","Drama, Sci-Fi, Thriller",45,25.0,2018.0,2018-05-04,"Jannik Tai Mosholt, Jannik Tai Mosholt, Jannik Tai Mosholt","Argentina:16, Australia:M, Brazil:16, Canada:TV-MA::(self-applied), Chile:16+::(Netflix self-rating), France:13, Germany:12, India:18::(self-applied), Italy:VM14, Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:16, Norway:12::(Netflix self-rating), Philippines:18+::(self-applied), Singapore:M18, South Korea:18, South Korea:15::(season 3), Spain:13, Sweden:16+::(self-applied), Turkey:18+::(self-applied), United Kingdom:15::(self-applied), United States:TV-MA","Denmark, United States",Danish,8.0
Unorthodox,tv mini series,9815454,8.0,68486.0,"Shira Haas, Amit Rahav, Jeff Wilbusch, Alex Reid, Ronit Asheri, Delia Mayer, Dina Doron, David Mandelbaum, Gera Sandler, Eli Rosen, Aaron Altaras, Tamar Amit-Joseph, Langston Uibel, Safinaz Sattar, Felix Mayr, Aziz Dyab, Yousef 'Joe' Sweid, Isabel Schosnig, Michael Cohen-Weissert, Harvey Friedman, Tal Hever, Ita Korenzecher, Laura Beckner, Noam Asheri, Michal Birnbaum, Melissa Weisz, Dennenesch Zoudé, Malky Goldman, Hildegard Schroedter, Lenn Kudrjawizki, Charles Rosen Ensemble, Lena Kalisch, Alexa Karolinski, Mihaela Sirbu, Lena Lauzemis, Irina Potapenko, Lorenz Maria Krieger, Lucie Bates, Friederike Stahmer, Simone Easthope, Mädchenchor der Sing-Akademie zu Berlin, Mira Kessler, Michel Diercks, Harald Siebler, Hartmut Schmidthals, Maeve Metelka, Hannah Hill, Irina Platon, Handina Murandu, Alfonso Graham",Drama,53,25.0,2020.0,2020-03-26,"Deborah Feldman, Daniel Hendler, Alexa Karolinski","Argentina:13, Australia:M, Brazil:16, France:13::(self-applied), Netherlands:12, Singapore:M18, South Korea:15, Spain:13, United Kingdom:12, United States:TV-MA",Germany,"German, English, Yiddish, Arabic, Polish, Russian",4.0
Bhaag Beanie Bhaag,tv series,12775836,3.8,6467.0,"Swara Bhaskar, Ravi Patel, Varun Thakur, Dolly Singh, Girish Kulkarni, Mona Ambegaonkar, Vishwa Bhanu, Kaizaad Kotwal",Comedy,29,25.0,2020.0,2020-12-04,"Nisha Kalra, Ravi Patel, Neel Shah","Australia:M, Germany:12::(self-applied), India:16::(self-applied), Philippines:16+::(self-applied), Singapore:NC16, South Korea:18, Spain:12, United States:TV-MA::(self-applied)",India,NA,6.0
Tiny Pretty Things,tv series,10767748,5.9,8459.0,"Brennan Clost, Barton Cowperthwaite, Damon J. Gillespie, Kylie Jefferson, Casimere Jollette, Anna Maiche, Daniela Norman, Michael Hsu Rosen, Clare Butler, Ashley Coulson, Mia Bowman, Sarah-Maude Laliberte, Lucas De Marinis, Kirill Lordski, Evgeni Dokoukine, Lily McEvenue, Josh St. John, Emily Skubic, Ty Forhan, Bayardo De Murguia, Tory Trowbridge, Jess Salgueiro, Lauren Holly, Shaun Benson, Nicole Huff, Michelle Nolden, Paula Boudreau, Jessica Greco, Alexander Eling, Morgan Kelly, Alexandra Bokyun Chun, Josh Pyman, Araya Mengesha, Daniel Kash, Luke Humphrey, John Ralston, Stephanie Belding, Alexandra Augustine, Tiler Peck, Karen Robinson, Elisa Moolecherry, Erin Pitt, Toni Ellwand, Paulino Nunes, Evan Supple, Thomas Leprohon, Winsome Brown, Catherine McNally, Darlene Cooke, Brian Frank","Drama, Mystery, Thriller",60,25.0,2020.0,2020-12-14,"Sona Charaipotra, Dhonielle Clayton, Michael MacLennan","Argentina:16, Australia:MA15+, Brazil:16::(self-applied), Canada:TV-MA::(self-applied), France:16, Germany:16::(self-applied), India:18::(self-applied), Italy:VM14::(self-applied), Japan:R15+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:14, Philippines:18+::(self-applied), Singapore:R21, South Korea:18, Spain:18, Sweden:16+::(self-applied), Turkey:18+::(self-applied), United Kingdom:15, United States:TV-MA::(self-applied)",United States,English,10.0
The Crew,tv series,10971022,6.6,4788.0,"Kevin James, Jillian Mueller, Freddie Stroma, Gary Anthony Williams, Dan Ahdoot, Sarah Stiles, Paris Berelc, Bruce McGill, Mather Zickel, Jamie Little, Lesli Margherita, Ryan Blaney, Gregory Porter Miller, Mike Joy, J. Bernard Calloway, Kim Coates, Brandon James Ellis, Henry Bazemore Jr., Nicholas Delany, Austin Dillon, Diana Gettinger, Remington Moses, Cole Custer, Jim C. Ferris, Julia Harnett, Liz Holtan, Brianna Stoute, Keith Buterbaugh, Peter Grosz, Carrie Compere, Robert Farrior, Adam Desautels, Dennis Jay Funny, Kisha Batista, Iván Amaro Bullón",Comedy,NA,25.0,2021.0,2021-02-15,"Chelsea Catalanotto, Chelsea Catalanotto, Pete Correale","Australia:PG, Brazil:10::(self-applied), Canada:TV-14::(self-applied), France:7::(self-applied), Germany:6::(self-applied), India:13::(self-applied), Italy:T::(self-applied), Japan:R15+::(self-applied), Mexico:TV-14::(self-applied), Singapore:PG13, Spain:7, Turkey:13+::(self-applied), United Kingdom:PG, United States:TV-14::(self-applied)",United States,English,10.0
Gypsy,tv series,5503718,6.8,15446.0,"Naomi Watts, Billy Crudup, Sophie Cookson, Karl Glusman, Poorna Jagannathan, Brooke Bloom, Lucy Boynton, Melanie Liburd, Brenda Vaccaro, Maren Heary, Frank Deal, Megan Sikora, Paris Remillard, Kimberly Quinn, Ali Marsh, Quentin Mare, Ginger Tice Pennington, Shiloh Fernandez, Chris Meyer, Antu Yacob, Erin Neufer, Jordana Rose, Evan Hoyt Thompson, Julian Cihi, Blythe Danner, J.C. Montgomery, Brian Keane, Kelly Sebastian, Alicia Napoleon, Charlie V. Wilson, Shunori Ramanathan, Vardaan Arora, Toni Martin, Sasha Dobson, Alex Foote, Kerry Condon, Samrat Chakrabarti, Michael McKenzie, Laura Sametz, Sagine Valla, Craig Wroe, Edward Akrout, Maia Bliskovski, Nancy Lemenager, Alok Tewari, Ben van Berkum, Derek Wade, Elizabeth Inghram, Grant Monohon, Seth Barrish","Drama, Thriller",51,25.0,2017.0,2017-06-30,"Jonathan Caren, Jonathan Caren, Jonathan Caren","Argentina:16, Australia:MA15+::(Netflix self-rating), Brazil:16, France:13::(self-applied), Germany:12::(self-applied), India:18::(self-applied), Italy:VM14, Norway:12::(Netflix self-rating), Philippines:18+::(self-applied), Singapore:M18, South Korea:18, Spain:16, Sweden:13+::(self-applied), Turkey:18+::(self-applied), United Kingdom:15::(BBFC), United States:TV-MA","United States, United Kingdom",English,10.0
Bonding,tv series,7718088,7.2,15032.0,"Zoe Levin, Brendan Scannell, Micah Stock, Theo Stockman, Matthew Wilkas, Alex Hurt, Gabrielle Ryan, Nana Mensah, Kristin Villanueva, Kevin Kane, Stephanie Styles, Alysha Umphress, Charles Gould, Vanessa Rubio, Cristina Pitter, Annapurna Sriram, Darrell Britt-Gibson, Kevin Kilner, D'Arcy Carden, Amy Bettina, Gianmarco Soresi, Leonard Berdick, Jade Elysan, Eric Berryman, Matthew Risch, Jamar Greene, Stephen Reich, Chad Burris, Donna Glaesener, Malachi Nimmons, Nico Evers-Swindell, Veronique Chelarca, Joe Essig, Tansy, Chris Perfetti, Rosanny Zayas, Sebastian Conelli, Manelich Minniefee, Alexa Butler, Miriam Baron, Eshan Bay, Asmeret Ghebremichael, Jonathan Higginbotham, Jonathan Hart, Jon Fleming, Travis Ocasio, Michael Lazarus, Casper Ostman, David Park, Michael Whitelaw","Comedy, Drama",107,25.0,2018.0,2018-06-21,"Rightor Doyle, Rightor Doyle, Nana Mensah","Argentina:16, Australia:MA15+, Brazil:16, Canada:TV-MA::(self-applied), France:16, Germany:16::(internet), India:18::(self-applied), Italy:VM14, Mexico:TV-MA::(self-applied), Netherlands:12, Philippines:18+::(self-applied), Portugal:M/16, Singapore:R21, South Korea:18, Spain:16, Turkey:18+::(self-applied), United Kingdom:18::(most episodes), United Kingdom:15::(some episodes), United States:TV-MA",United States,English,7.0
Sacred Games,tv series,6077448,8.6,83063.0,"Saif Ali Khan, Nawazuddin Siddiqui, Neeraj Kabi, Elnaaz Norouzi, Aamir Bashir, Shalini Vatsa, Jatin Sarna, Luke Kenny, Chittaranjan Tripathy, Pankaj Tripathi, Radhika Apte, Jitendra Joshi, Girish Kulkarni, Surveen Chawla, Kubbra Sait, Rajshri Deshpande, Saurabh Sachdeva, Vikram Kochhar, Kalki Koechlin, Paul Ogola, Suhas Sirsat, Sameer Kochhar, Anil Charanjeett, Danish Pandor, Anupriya Goenka, Amruta Subhash, Muni Jha, Geetanjali Thapa, Sukhmani Sadana, Neha Shitole, Shashi Ranjan, Jayashree Bappal, Praful Bankar, Abhishek Pathak, Prasad Kandekar, Karan Wahi, Richa Kapoor, Sanjay Dadich, Himanshu Tyagi, Manorath, Sushmita Bhandari, Vibhawari Deshpande, Harshita Gaur, Nawab Shah, Shyam Kishore, Ashok Pathak, Ram Shankar Singh, Vishvendra Singh, Yogi Singha, Ankur Jain","Action, Crime, Drama, Mystery, Thriller",50,25.0,2018.0,2018-06-28,"Varun Grover, Varun Grover, Varun Grover","Argentina:16, Australia:MA15+, Brazil:18::(self-applied), France:16, Germany:16, India:A, India:UA::(trailer), Italy:VM18, Mexico:TV-MA::(self-applied), Netherlands:16, Norway:16::(Netflix self-rating), Philippines:18+::(self-applied), Singapore:R21, South Korea:18, Spain:16, Sweden:16+::(self-applied), Turkey:18+::(self-applied), United Kingdom:18, United States:TV-MA::(Netflix), United Arab Emirates:18+::(self-applied)","India, United States",Hindi,8.0
