,Titulo,IMDBid,Nota,Votos,Elenco,Gênero,Duração,Reviews,Ano,Data de estréia,Data dos episodios,Roteiristas,Censura,País,Idiomas,Episodios
15,Grace and Frankie,3609352,8.2,44392.0,"Jane Fonda, Lily Tomlin, Sam Waterston, Martin Sheen, June Diane Raphael, Brooklyn Decker, Ethan Embry, Baron Vaughn, Peter Cambor, Tim Bagley, Lindsey Kraft, Peter Gallagher, Ernie Hudson, Michael Charles Roman, Millicent Martin, Scott Evans, Marsha Mason, Jack Plotnick, Brittany Ishibashi, Craig T. Nelson, Michael McKean, Christine Woods, Sam Elliott, Geoff Stults, Mark Deklin, Michael Gross, Willa Miel Pogue, Marty Thomas, Daheli Hall, Estelle Parsons, Lisa Kudrow, John Getz, Angelique Cabral, Megan Ferguson, Roger Bart, Todd Grinnell, Josh Cooke, Timothy V. Murphy, Kevin Chamberlin, Hudson West, Todd Sherry, Japheth Gordon, Cora Vander Broek, Lois Smith, Joe Morton, John Balma, Swoosie Kurtz, Paul Michael Glaser, RuPaul, Brooke D'Orsay",Comedy,30,25.0,2015.0,08/05/2015,"08/05/2015, 08/05/2015, 08/05/2015, 08/05/2015, 08/05/2015, 08/05/2015, 08/05/2015, 08/05/2015, 08/05/2015, 08/05/2015, 08/05/2015, 08/05/2015","Marta Kauffman, Marta Kauffman, Howard J. Morris","Argentina:16, Australia:M, Australia:MA15+::(season 1), Brazil:16::(self-applied), Canada:G::(Quebec), France:13::(self-applied), Germany:12::(self-applied), India:16::(self-applied), Italy:VM14, Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:AL::(season 3), Netherlands:12::(seasons 1 and 2), New Zealand:M, Norway:12::(Netflix self-rating), Philippines:18+::(self-applied), Poland:16::(self-applied), Singapore:M18, South Korea:18, Spain:13, Sweden:13, Turkey:16+::(self-applied), United Kingdom:15::(some episodes), United Kingdom:12::(some episodes), United States:TV-MA",United States,English,13.0
16,BoJack Horseman,3398228,8.7,130255.0,"Will Arnett, Amy Sedaris, Alison Brie, Aaron Paul, Paul F. Tompkins, Adam Conover, Keith Olbermann, Diedrich Bader, Kristen Schaal, Patton Oswalt, Raphael Bob-Waksberg, Aparna Nancherla, J.K. Simmons, Stanley Tucci, Wendie Malick, Angela Bassett, Rami Malek, Stephanie Beatriz, Lake Bell, Maria Bamford, Kimiko Glenn, Dave Segal, Ben Schwartz, Mike Hollingsworth, Raúl Esparza, Margo Martindale, Cedric Yarbrough, James Adomian, Kevin Bigley, Abbi Jacobson, Lisa Kudrow, LaKeith Stanfield, Julia Chan, Olivia Wilde, Jean Villepique, Rachel Bloom, Jessica Biel, Hong Chau, Fielding Edlow, Kristin Chenoweth, Daniele Gaither, Echo Gillette, Phil LaMarr, Sam Richardson, Hilary Swank, Alan Arkin, Paget Brewster, Chris Cox, Andre Braugher, Kelen Coleman","Animation, Comedy, Drama",25,25.0,2014.0,22/08/2014,"22/08/2014, 22/08/2014, 22/08/2014, 22/08/2014, 22/08/2014, 22/08/2014, 22/08/2014, 22/08/2014, 22/08/2014, 22/08/2014, 22/08/2014","Raphael Bob-Waksberg, Raphael Bob-Waksberg, Alison Tafel","Argentina:16, Australia:PG::(one episode), Australia:M::(some episodes, Season 1, 3), Australia:MA15+::(some episodes, Season 2, 4, 6), Brazil:16, Canada:13+::(Quebec), France:16, Germany:16::(self-applied), India:18+::(self-applied), Ireland:15::(TV rating), Italy:VM14::(self-applied), Japan:G, Mexico:TV-MA::(self-applied), Netherlands:6::(season 4), Netherlands:12::(seasons 1-3), New Zealand:M::(some episodes), New Zealand:R13::(some episodes), New Zealand:R16::(some episodes, Season 1-2 DVD), Philippines:18+::(self-applied), Poland:12, Portugal:M/16, Russia:18+::(Netflix self-rating), Russia:16+::(TV rating), Singapore:R21, South Korea:18, Spain:16, Sweden:16+, Turkey:18+::(self-applied), United Kingdom:18::(one episode, Season 2 DVD), United Kingdom:PG::(some episodes), United Kingdom:12::(some episodes), United Kingdom:15::(some episodes, Season 1, 3-5 DVD), United States:TV-MA, United Arab Emirates:18+::(self-applied)",United States,English,12.0
17,Never Have I Ever,10062292,7.8,40168.0,"Maitreyi Ramakrishnan, Poorna Jagannathan, Darren Barnet, John McEnroe, Jaren Lewison, Benjamin Norris, Richa Moorjani, Lee Rodriguez, Ramona Young, Sendhil Ramamurthy, Adam Shapiro, Christina Kartchner, Aitana Rinab Perez, Niecy Nash, Dino Petrera, Jack Seavor McDonald, Hanna Stein, Dana Vaughns, Ranjita Chakravarty, Megan Suri, Royal Patel, Cocoa Brown, Martin Martinez, P.J. Byrne, Tyler Alvarez, Rushi Kota, Andrea Ramos, Common, Lily D. Moore, Eddie Liu, Tembi Locke, Eugene Prokofiev, Adriyah Marie Young, Donielle Nash, Utkarsh Ambudkar, Angela Kinsey, Michael Badalucco, Alexandra Billings, Gilberto Ortiz, Mark Collier, Rachel Zimmermann, ChaCha Shen, Donna Pieroni, Peter James Smith, Andy Samberg, Jae Suh Park, Clyde Kusatsu, Markus Jorgensen, Tohoru Masamune, John Mawson","Comedy, Drama",30,25.0,2020.0,27/04/2020,"27/04/2020, 27/04/2020, 27/04/2020, 27/04/2020, 27/04/2020, 27/04/2020, 27/04/2020, 27/04/2020, 27/04/2020","Lang Fisher, Lang Fisher, Mindy Kaling","Argentina:13, Australia:M, Brazil:12, Canada:TV-14::(self-applied), France:13::(self-applied), Germany:12::(internet), India:16::(self-applied), Indonesia:13+::(self-applied), Italy:T, Japan:PG12::(self-applied), Mexico:TV-14::(self-applied), Netherlands:AL, Philippines:13+::(self-applied), Poland:12, Singapore:M18, South Korea:15, Spain:13, Sweden:13+, Turkey:13+::(self-applied), United Kingdom:12, United States:TV-14::(self-applied), United Arab Emirates:13+::(self-applied)",United States,English,10.0
18,"Love, Death & Robots",9561862,8.5,125261.0,"Scott Whyte, Nolan North, Steven Pacey, Emily O'Brien, Fred Tatasciore, Matthew Yang King, Michelle C. Bonilla, Chris Cox, Ike Amadi, Noshir Dalal, Piotr Michael, Mary Elizabeth Winstead, Kevin Michael Richardson, Samira Wiley, Maurice LaMarche, Josh Brener, Helen Sadler, Stefan Kapicic, Aaron Himelstein, Kirk Thornton, Elaine Tan, Michael Benyaer, Neil Kaplan, Graham Hamilton, Henry Douthwaite, Elly Condron, Rebecca Riedy, Michael B. Jordan, Archie Madekwe, Joe Dempsie, Peter Franzén, Nancy Linari, Divi Mittal, Topher Grace, Yuri Lowenthal, Gary Anthony Williams, Daisuke Tsuji, Bruce Thomas, Carlos Alazraqui, Adam Bartley, André Sogliuzzo, Alexia Dox, Hayley McLaughlin, Madeleine Knight, Christopher L. Parson, G.K. Bowes, Ben Sullivan, Emma Thornett, Dieter Jansen, Elodie Yung","Animation, Short, Action, Adventure, Comedy, Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",15,25.0,2019.0,15/03/2019,"15/03/2019, 15/03/2019, 15/03/2019, 15/03/2019, 15/03/2019, 15/03/2019, 15/03/2019, 15/03/2019, 15/03/2019, 15/03/2019, 15/03/2019, 15/03/2019, 15/03/2019, 15/03/2019, 15/03/2019, 15/03/2019, 15/03/2019","Tim Miller, Tim Miller, Philip Gelatt","Argentina:18, Australia:MA15+::(Netflix self-rating), Belgium:KNT/ENA, Brazil:18, Canada:TV-MA::(self-applied), Finland:K-18::(Netflix self-rating), France:18::(self-applied), Germany:18::(Netflix rating), India:18::(self-applied), Indonesia:18+::(self-applied), Italy:VM18, Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:16, Norway:18::(Netflix self-rating), Poland:18, Portugal:M/18, Russia:18+, Singapore:R21, South Korea:18, Spain:18, Sweden:18+::(self-applied), Turkey:18+, United Kingdom:18, United Kingdom:15::(most episodes), United States:TV-MA, United Arab Emirates:18+::(self-applied)",United States,English,18.0
19,Dead to Me,8064302,8.0,65387.0,"Christina Applegate, Linda Cardellini, Sam McCarthy, Luke Roessler, James Marsden, Max Jenkins, Diana Maria Riva, Brandon Scott, Keong Sim, Natalie Morales, Valerie Mahaffey, Suzy Nakamura, Ed Asner, Haley Sims, Eien Kobayashi, Telma Hopkins, Frances Conroy, Jadon Cole, Dylan Kate, Jere Burns, Adora Soleil Bricher, Sadie Stanley, Chelsea Spack, Lily Knight, Katey Sagal, Renee Victor, John Ennis, Ericka Kreutz, Marc Evan Jackson, Rick Holmes, Edward Fordham Jr., Blair Beeken, Marcus Brown, Olivia Macklin, Steve Howey, Beth Hoyt, Beth Littleford, Owen Robinson, Michole Briana White, Sunkrish Bala, Greg Bryan, Tiffany Yvonne Cox, Chris Aquilino, Lisa Schurga, Reatha Grey, Tara Karsian, Gloria Calderon Kellett, Jen Kober, David Douglas, Michael Boucher","Comedy, Crime, Drama",30,25.0,2019.0,03/05/2019,"03/05/2019, 03/05/2019, 03/05/2019, 03/05/2019, 03/05/2019, 03/05/2019, 03/05/2019, 03/05/2019, 03/05/2019","Liz Feldman, Liz Feldman, Liz Feldman","Argentina:16, Australia:M, Brazil:16, Canada:TV-MA::(self-applied), France:13::(self-applied), Germany:12::(self-applied), India:18::(self-applied), Italy:VM14, Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:12, Philippines:18+::(self-applied), Poland:16::(self-applied), Portugal:M/12::(Netflix rating), Singapore:M18, South Korea:18, Spain:13, Sweden:13::(self-applied), Turkey:18+::(self-applied), United Kingdom:15, United States:TV-MA, United Arab Emirates:18+::(self-applied)",United States,English,10.0
20,Castlevania,6517102,8.3,55522.0,"Richard Armitage, James Callis, Alejandra Reynoso, Theo James, Adetokumboh M'Cormack, Jaime Murray, Graham McTavish, Emily Swallow, Jessica Brown Findlay, Yasmine Al Massri, Ivana Milicevic, Bill Nighy, Gildart Jackson, Matt Frewer, Matt Lowe, Moira Quirk, Rila Fukushima, Jason Isaacs, Malcolm McDowell, Navid Negahban, Toks Olagundoye, Toru Uchikado, Marsha Thomason, Lance Reddick, Titus Welliver, Barbara Steele, Darren Richardson, Christine Adams, Emma Catherine Rigby, Matthew Waterson, JB Blanc, JP Karliak, Peter Stormare, Adam Croasdell, Courtenay Taylor, Imari Williams, Tony Amendola, Jonathan Lipow, Timothy Omundson, André Sogliuzzo, Fabio Tassone, Fred Tatasciore, Dave B. Mitchell, Sara Cravens, Mick Wingert","Animation, Action, Adventure, Fantasy, Horror",23,25.0,2017.0,07/07/2017,"07/07/2017, 07/07/2017, 07/07/2017","Warren Ellis, Warren Ellis","Australia:MA15+::(seasons 1-2), Australia:R18+::(seasons 3-4), Brazil:16, Canada:13+::(Quebec), France:18, Germany:18::(self-applied), India:18::(self-applied), Indonesia:18+::(self-applied), Italy:VM14::(self-applied), Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:12, New Zealand:R16::(Season 1), Norway:16::(Netflix self-rating), Norway:18::(Netflix self-rating), Philippines:R-18::(Netflix rating), Philippines:18+::(self-applied), Poland:16, Portugal:M/16, Portugal:M/18::(Netflix self-rating), Singapore:M18, South Korea:18, Spain:18, Sweden:18+::(self-applied), Turkey:18+::(self-applied), United Kingdom:15, United Kingdom:18::(season 4), United States:TV-MA::(LV), United Arab Emirates:18+::(self-applied)",United States,English,4.0
21,Orange Is the New Black,2372162,8.0,287942.0,"Taylor Schilling, Kate Mulgrew, Uzo Aduba, Danielle Brooks, Dascha Polanco, Selenis Leyva, Nick Sandow, Yael Stone, Taryn Manning, Jackie Cruz, Adrienne C. Moore, Laura Prepon, Natasha Lyonne, Jessica Pimentel, Elizabeth Rodriguez, Laura Gómez, Michael Harney, Matt Peters, Lea DeLaria, Dale Soules, Diane Guerrero, Vicky Jeudy, Emma Myles, Samira Wiley, Julie Lake, Constance Shulman, Abigail Savage, Alysia Reiner, Annie Golden, Lin Tucci, Kimiko Glenn, Joel Marsh Garland, Daniella De Jesús, Laverne Cox, Catherine Curtin, Mike Houston, Emily Tarver, Beth Dover, Beth Fowler, Nick Dillenburg, Jason Biggs, Hunter Emery, Lori Tan Chinn, Rosal Colon, James McMenamin, Shannon Esper, Brad William Henke, Matt McGorry, Miriam Morales, Shaleeni Ranchhod","Comedy, Crime, Drama",59,25.0,2013.0,11/07/2013,"11/07/2013, 11/07/2013, 11/07/2013, 11/07/2013, 11/07/2013, 11/07/2013, 11/07/2013, 11/07/2013, 11/07/2013, 11/07/2013, 11/07/2013, 11/07/2013","Jenji Kohan, Jenji Kohan, Jenji Kohan","Argentina:16, Australia:MA15+, Brazil:18, Canada:13+::(Quebec), France:16, Germany:16, India:18+::(self-applied), Indonesia:18+::(self-applied), Ireland:15, Italy:VM14, Japan:R18+::(self-applied), Malaysia:(Banned), Mexico:C, Netherlands:12, Netherlands:16::(season 4), New Zealand:R16::(DVD rating), New Zealand:R13::(some episodes), Norway:16::(Netflix self-rating), Philippines:18+::(self-applied), Poland:16::(self-applied), Russia:18+, Singapore:R21, South Korea:18, Spain:16, Sweden:16+::(self-applied), Turkey:18+, United Kingdom:18, United Kingdom:18::(some episodes), United States:TV-MA, United Arab Emirates:18+::(self-applied)",United States,English,13.0
22,House of Cards,1856010,8.7,482331.0,"Robin Wright, Michael Kelly, Kevin Spacey, Justin Doescher, Derek Cecil, Jayne Atkinson, Nathan Darrow, Mahershala Ali, Boris McGiver, Paul Sparks, Molly Parker, Neve Campbell, Jeremy Holm, Michel Gill, Marla Aaron Wapner, Nini Le Huynh, Gregory Divers, Elizabeth Marvel, Larry Pine, Campbell Scott, Sakina Jaffrey, Constance Zimmer, Rachel Brosnahan, Curtiss Cook, John Wells, Kristen Connolly, Sebastian Arcelus, Reed Birney, Jimmi Simpson, Antoinette Montgomery, Gerald McRaney, Dominique McElligott, Joel Kinnaman, Reg E. Cathey, Kate Mara, Damian Young, Elizabeth Norment, Julian Gamble, Lars Mikkelsen, Corey Stoll, Kate Lyn Sheil, Tatyana N. Pokrovskaya, Patricia Clarkson, Sandrine Holt, Colm Feore, Mozhan Marnò, Mercedes Herrero, John Rue, Korey Jackson, Andrew Polk",Drama,51,25.0,2013.0,01/02/2013,"01/02/2013, 01/02/2013, 01/02/2013, 01/02/2013, 01/02/2013, 01/02/2013, 01/02/2013, 01/02/2013, 01/02/2013, 01/02/2013, 01/02/2013, 01/02/2013","Andrew Davies, Michael Dobbs, Beau Willimon","Argentina:16, Australia:MA15+, Brazil:16, Canada:14A::(Manitoba/Nova Scotia), Canada:13+::(Québec), Denmark:15, Finland:K-12, France:Tous publics, Germany:12, Hong Kong:IIB, India:16+::(self-applied), Indonesia:18+::(self-applied), Ireland:15, Italy:VM12::(Sky rating), Japan:R18+::(self-applied), Malaysia:18, Mexico:B15, Netherlands:16::(season 4), Netherlands:12::(seasons 1-3), New Zealand:R16, Norway:15, Philippines:18+::(self-applied), Poland:16, Portugal:12AP, Russia:18+, Singapore:M18, Singapore:R21, South Korea:15, Spain:16, Sweden:15, Turkey:18+::(self-applied), United Kingdom:18::(season 1-2), United Kingdom:15::(season 3 onwards), United States:TV-MA, United Arab Emirates:18+::(self-applied)",United States,English,13.0
23,Sense8,2431438,8.3,146345.0,"Bae Doona, Jamie Clayton, Tina Desai, Tuppence Middleton, Max Riemelt, Miguel Ángel Silvestre, Brian J. Smith, Daryl Hannah, Freema Agyeman, Zamire Zeynep Özdemir, Alfonso Herrera, Terrence Mann, Eréndira Ibarra, Naveen Andrews, Purab Kohli, Max Mauff, Paul Ogola, Chichi Seii, Michael X. Sommers, Aml Ameen, Toby Onwumere, Anupam Kher, Ness Bautista, Peter King Nzioki, Natasha Rastogi, Huzan Mevawalla, Ki-Chan Lee, Kristján Kristjánsson, Darshan Jariwala, Valeria Bilello, Mumbi Maina, Maxwell Jenkins, Mita Vashisht, Maximilienne Ewalt, Raúl Méndez, Adam Shapiro, Erik Hayser, Rosa Katanu, Kim Hye-hwa, Yuh-Jung Youn, Sara Sohn, Avantika Akerkar, Abel Amunga, Shruti Bapna, Sandra Fish, Sukku Son, Lwanda Jawar, Kick Gurry, Lee Kyung-young, Ari Brickman","Drama, Mystery, Sci-Fi, Thriller",60,25.0,2015.0,05/06/2015,"05/06/2015, 05/06/2015, 05/06/2015, 05/06/2015, 05/06/2015, 05/06/2015, 05/06/2015, 05/06/2015, 05/06/2015, 05/06/2015, 05/06/2015","J. Michael Straczynski, J. Michael Straczynski, Lana Wachowski","Argentina:16, Australia:MA15+, Brazil:18, Canada:TV-MA::(self-applied), France:16, Germany:16, India:18::(self-applied), Indonesia:18+::(self-applied), Italy:VM18, Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:16, New Zealand:R16, Norway:16::(Netflix self-rating), Philippines:18+::(self-applied), Poland:16::(self-applied), Singapore:R21, South Korea:18, Spain:16::(Netflix), Sweden:16+::(self-applied), Turkey:18+::(self-applied), United Kingdom:15::(some episodes), United Kingdom:18::(some episodes), United States:TV-MA, United Arab Emirates:18+::(self-applied), Vietnam:C18",United States,English,12.0
24,The Kominsky Method,7255502,8.2,35815.0,"Michael Douglas, Sarah Baker, Graham Rogers, Melissa Tang, Casey Thomas Brown, Jenna Lyng Adams, Alan Arkin, Nancy Travis, Emily Osment, Ashleigh LaThrop, Lisa Edelstein, Paul Reiser, Ramon Hilario, Susan Sullivan, Haley Joel Osment, Kathleen Turner, Jane Seymour, Cedric Begley, Natasha Hall, Danny DeVito, Morgan Freeman, Ann-Margret, Christine Ebersole, Barry Levinson, J.D. Walsh, Jocelyn Towne, Adam Zastrow, Anoush NeVart, Azie Tesfai, Jay Leno, Eddie Money, Jon Cryer, Elliott Gould, Patti LaBelle, Bob Odenkirk, Allison Janney, Don Lemon, Jen Drohan, Jully Lee, Matt Knudsen, Julianna Gamiz, Brandon Morales, Jeffrey D. Sams, Claudia Elmore, Becky O'Donohue, AnaSofia Bianchi, Kirstin Eggers, Annie Tedesco, Butch Klein, Rex Linn","Comedy, Drama",30,25.0,2018.0,10/11/2018,"10/11/2018, 16/11/2018, 16/11/2018, 16/11/2018, 16/11/2018, 16/11/2018, 16/11/2018","Chuck Lorre, Chuck Lorre, Alan J. Higgins","Argentina:16, Australia:M::(season 1), Australia:MA15+::(season 2), Brazil:14, Canada:TV-MA::(self-applied), Denmark:15::(DVD rating), Finland:K-12::(DVD rating), France:13::(self-applied), Germany:12::(self-applied), India:18::(self-applied), Italy:T, Japan:R15+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:12::(season 1), Netherlands:16::(season 2), Norway:12::(Netflix self-rating), Philippines:18+::(self-applied), Poland:16, Singapore:M18, South Korea:18, Spain:13, Sweden:15::(DVD rating), Turkey:18+::(self-applied), United Kingdom:15, United States:TV-MA, United Arab Emirates:18+::(self-applied), Vietnam:C18",United States,English,8.0
25,Dear White People,5707802,6.2,24215.0,"Logan Browning, Brandon P Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson-Jenkins, Marque Richardson, Jemar Michael, Giancarlo Esposito, Courtney Sauls, Nia Jervier, Caitlin Carver, Wyatt Nash, Obba Babatundé, Erich Lane, Nicholas Anthony Reid, Brandon Black, Wade F. Wilson, Sheridan Pierce, Jeremy Tardy, Darrion Scoggins, D.J. Blickenstaff, Joi Liaye, Daheli Hall, Quei Tann, Griffin Matthews, Judith Scott, Rudy Martinez, Alex Alcheh, Jeffrey Larson, Igor Hiller, Lucius Baybak, Ally Maki, Rome Flynn, John Rubinstein, Diamond White, Blair Underwood, Noah Taliferro, Thomas Kasp, Henderson Wade, Mason Trueblood, Scott Michael Morgan, Nia Long, Robert Curtis Brown, Wendie Malick, Karamo Brown, Lena Waithe, Francia Raisa, Carlin James, Cassidi Parker","Comedy, Drama",30,25.0,2017.0,28/04/2017,"28/04/2017, 28/04/2017, 28/04/2017, 28/04/2017, 28/04/2017, 28/04/2017, 28/04/2017, 28/04/2017, 28/04/2017","Justin Simien, Justin Simien, Justin Simien","Argentina:16, Australia:MA15+, Brazil:16, Canada:TV-MA::(self-applied), France:16, Germany:16, India:18::(self-applied), Indonesia:18+, Indonesia:18+::(self-applied), Italy:VM14::(self-applied), Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:16, Netherlands:16::(season 1), Netherlands:12::(season 2), Norway:16::(Netflix self-rating), Philippines:18+::(self-applied), Poland:16::(self-applied), Russia:16+, Singapore:M18, South Korea:18, Spain:16::(Netflix), Sweden:16+, Turkey:18+::(self-applied), United Kingdom:15, United States:TV-MA::(L, S), United Arab Emirates:18+::(self-applied)",United States,English,10.0
26,GLOW,5770786,8.0,43193.0,"Alison Brie, Betty Gilpin, Britt Baron, Sydelle Noel, Kate Nash, Britney Young, Gayle Rankin, Marc Maron, Kia Stevens, Jackie Tohn, Kimmy Gatewood, Sunita Mani, Rebekka Johnson, Ellen Wong, Christopher Lowell, Marianna Palka, Shakira Barrera, Bashir Salahuddin, Victor Quinaz, Rich Sommer, Andrew Friedman, Geena Davis, Wyatt Nash, Casey W. Johnson, Kevin Cahoon, Carlos Colón Jr., Toby Huss, Alex Rich, Ravil Isyanov, Nick Clifford, Annabella Sciorra, Tami Sagher, Eric Lutz, Elizabeth Perkins, Amy Farrington, Phoebe Strole, Tyrus, Peter O'Brien, Paul Fitzgerald, Breeda Wool, Marc Evan Jackson, Armen Weitzman, Andy Umberger, Colton Tran, Patrick Renna, Whitmer Thomas, Peter Kelamis, Winston James Francis, Allan Wasserman, Horatio Sanz","Comedy, Drama, Sport",35,25.0,2017.0,23/06/2017,"23/06/2017, 23/06/2017, 23/06/2017, 23/06/2017, 23/06/2017, 23/06/2017, 23/06/2017, 23/06/2017, 23/06/2017","Liz Flahive, Liz Flahive, Carly Mensch","Argentina:16, Australia:MA15+::(Netflix self-rating), Brazil:16, Canada:TV-MA::(self-applied), France:13::(self-applied), Germany:12, India:18::(self-applied), Italy:VM14, Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:12, Philippines:18+::(self-applied), Singapore:M18::(season 1), Singapore:R21::(season 2), South Korea:18, Spain:13::(Netflix), Sweden:13::(self-applied), Turkey:18+::(self-applied), United Kingdom:18, United States:TV-MA",United States,"English, Spanish, Russian, Khmer",10.0
27,Big Mouth,6524350,7.9,63486.0,"Nick Kroll, John Mulaney, Jessi Klein, Jason Mantzoukas, Fred Armisen, Maya Rudolph, Jordan Peele, Andrew Rannells, Jenny Slate, Joe Wengert, Richard Kind, Paula Pell, June Diane Raphael, Jak Knight, Jessica Chaffin, Neil Casey, Jon Daly, Seth Morris, Kat Dennings, Gina Rodriguez, Mark Rivers, Chelsea Peretti, Gil Ozeri, Ayo Edebiri, Heather Lawless, Maria Bamford, Zachary Quinto, David Thewlis, Paul Scheer, Mark Duplass, Jean Smart, Emily Altman, Nathan Fillion, Fran Gillespie, Rob Huebel, Michaela Watkins, Julie White, Ali Wong, Gary Cole, John Gemberling, Thandiwe Newton, Natasha Lyonne, Ashley London, Rosa Salazar, Kristen Bell, Jack McBrayer, Julie Klausner, Craig Robinson, Sterling K. Brown, Bobby Cannavale","Animation, Comedy, Romance",30,25.0,2017.0,29/09/2017,"29/09/2017, 29/09/2017, 29/09/2017, 29/09/2017, 29/09/2017, 29/09/2017, 29/09/2017, 29/09/2017, 29/09/2017","Jennifer Flackett, Jennifer Flackett, Jennifer Flackett","Argentina:16, Australia:R18+::(Season 1), Australia:MA15+::(Season 2 & 4), Brazil:16, Canada:16+::(Québec), France:16, France:12::(some episodes), Germany:16, India:18+::(self-applied), Italy:VM14, Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:16::(season 4), Netherlands:12::(seasons 1-3), New Zealand:R16::(Netflix self-rating), Norway:16::(Netflix self-rating), Philippines:18+::(self-applied), Portugal:M/16, Russia:18+, Singapore:M18, Singapore:R21::(series level), South Korea:18, Spain:16, Sweden:16+::(self-applied), Turkey:18+::(self-applied), United Kingdom:15::(TV rating), United States:TV-MA",United States,English,10.0
28,Fuller House,3986586,6.7,26031.0,"Candace Cameron Bure, Jodie Sweetin, Andrea Barber, Michael Campion, Elias Harger, Soni Bringas, Dashiell Messitt, Fox Messitt, Juan Pablo Di Pace, Scott Weinger, John Brotherton, Adam Hagenbuch, John Stamos, Dave Coulier, Ashley Liao, Landry Bender, Bob Saget, Lori Loughlin, Marla Sokoloff, Virginia Williams, Isaak Presley, Mckenna Grace, Madilynn Jefferson, McKenzie Jefferson, Noah Alexander Gerry, Kimberley Drummond, Lucas Jaye, Trevor Larcom, Brad Grunberg, Natalija Nogulich, Logan Riley, Gianna DiDonato, Mike Ostroski, Ryun Yu, Robin Thomas, Maksim Chmerkovskiy, Val Chmerkovskiy, Tanner Buchanan, Josh Peck, Ben J. Pierce, Lisa Loeb, Blake Tuomy-Wilhoit, Dylan Tuomy-Wilhoit, Michael Patrick Gough, Joey McIntyre, Noah Salsbury Lipson, Ruby Rose Turner, Finn Carr, David Lipper, Kingston Foster","Comedy, Family",30,25.0,2016.0,26/02/2016,"26/02/2016, 26/02/2016, 26/02/2016, 26/02/2016, 26/02/2016, 26/02/2016, 26/02/2016, 26/02/2016, 26/02/2016, 26/02/2016, 26/02/2016, 26/02/2016","Jeff Franklin, Jeff Franklin, Eydie Faye","Argentina:Atp, Australia:PG, Australia:G::(season 5), Brazil:Livre::(self-applied), Canada:G::(Quebec), Denmark:A, France:7::(self-applied), Germany:6::(self-applied), India:UA, Italy:T, Japan:G, Mexico:TV-PG::(self-applied), Netherlands:AL, Norway:7::(Netflix self-rating), Philippines:13+::(self-applied), Singapore:G, South Korea:12, Spain:7, Sweden:7+::(self-applied), Turkey:13+::(self-applied), United Kingdom:PG, United States:TV-PG, United States:Not Rated::(DVD Rating), United States:TV-G, United States:TV-PG, United States:TV-Y7::(some episodes)",United States,English,13.0
29,Luke Cage,3322314,7.3,122128.0,"Mike Colter, Simone Missick, Theo Rossi, Alfre Woodard, Justin Swain, Sean Ringgold, John Clarence Stewart, Karen Pittman, Ron Cephas Jones, Jeremiah Craft, Mustafa Shakir, Rosario Dawson, Gabrielle Dennis, Kevin Mambo, Jaiden Kaine, Peter Jay Fernandez, Thomas Q. Jones, Sahr Ngaujah, Antonique Smith, Reg E. Cathey, Erik LaRay Harvey, Frank Whaley, Danny Johnson, Tijuana Ricks, Heather Simms, Mahershala Ali, Jacob Vargas, Chaz Lamar Shepherd, Deborah Ayorinde, Jade Wu, Darius Kaleb, Tarah Rodgers, Michael Kostroff, Cassandra Freeman, Dawn-Lyen Gardner, Jamar Greene, Dorian Missick, Parisa Fitz-Henley, Sônia Braga, Brian Marc, Sonja Sohn, Manny Perez, Rob Morgan, Clark Jackson, Ninja N. Devoe, P.J. Marshall, Lee R. Sellars, Andrew Pang, Clem Cheung, Clifton Cutrary","Action, Crime, Drama, Sci-Fi, Thriller",55,25.0,2016.0,28/09/2016,"28/09/2016, 28/09/2016, 30/09/2016, 30/09/2016, 30/09/2016, 30/09/2016, 30/09/2016, 30/09/2016, 30/09/2016, 30/09/2016, 30/09/2016, 30/09/2016","Cheo Hodari Coker, Cheo Hodari Coker, Cheo Hodari Coker","Argentina:16, Australia:MA15+, Brazil:16, Canada:14A::(Manitoba/Ontario), Canada:13+::(Quebec), France:16, Germany:16, India:18::(self-applied), Italy:VM14, Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:16, New Zealand:R16, Norway:16::(Netflix self-rating), Philippines:18+::(self-applied), Russia:18+, Singapore:M18, South Korea:18, Spain:16::(Netflix), Sweden:16+::(self-applied), Turkey:18+::(self-applied), United Kingdom:15, United States:TV-MA",United States,"English, Spanish, Polish",13.0
